season,supply,supply_formatted,calculated_value,cumulative_sum
2834,11258322227302,11258322.227302,4690967594.709170,1306300587091.589111
2835,11258323227302,11258323.227302,4690968011.375837,1310991555102.964844
2836,11258324227302,11258324.227302,4690968428.042503,1315682523531.007324
2837,11258325227302,11258325.227302,4690968844.709170,1320373492375.716553
2838,11258326227302,11258326.227302,4690969261.375837,1325064461637.092285
2839,11258327227302,11258327.227302,4690969678.042503,1329755431315.134766
2840,11258328227302,11258328.227302,4690970094.709170,1334446401409.843994
2841,11258329227302,11258329.227302,4690970511.375837,1339137371921.219727
2842,11258330227302,11258330.227302,4690970928.042504,1343828342849.262207
2843,11258331227302,11258331.227302,4690971344.709170,1348519314193.971436
2844,11258332227302,11258332.227302,4690971761.375837,1353210285955.347168
2845,11258333227302,11258333.227302,4690972178.042503,1357901258133.389648
2846,11258334227302,11258334.227302,4690972594.709170,1362592230728.098877
2847,11258335227302,11258335.227302,4690973011.375837,1367283203739.474609
2848,11258336227302,11258336.227302,4690973428.042504,1371974177167.517090
2849,11258337227302,11258337.227302,4690973844.709170,1376665151012.226318
2850,11258338227302,11258338.227302,4690974261.375837,1381356125273.602051
2851,11258339227302,11258339.227302,4690974678.042503,1386047099951.644531
2852,11258340227302,11258340.227302,4690975094.709170,1390738075046.353760
2853,11258341227302,11258341.227302,4690975511.375837,1395429050557.729492
2854,11258342227302,11258342.227302,4690975928.042503,1400120026485.771973
2855,11258343227302,11258343.227302,4690976344.709170,1404811002830.481201
2856,11258344227302,11258344.227302,4690976761.375837,1409501979591.856934
2857,11258345227302,11258345.227302,4690977178.042503,1414192956769.899414
2858,11258346227302,11258346.227302,4690977594.709170,1418883934364.608643
2859,11258347227302,11258347.227302,4690978011.375837,1423574912375.984375
2860,11258348227302,11258348.227302,4690978428.042503,1428265890804.026855
2861,11258349227302,11258349.227302,4690978844.709170,1432956869648.736084
2862,11258350227302,11258350.227302,4690979261.375837,1437647848910.111816
2863,11258351227302,11258351.227302,4690979678.042504,1442338828588.154297
2864,11258352227302,11258352.227302,4690980094.709170,1447029808682.863525
2865,11258353227302,11258353.227302,4690980511.375837,1451720789194.239258
2866,11258354227302,11258354.227302,4690980928.042503,1456411770122.281738
2867,11258355227302,11258355.227302,4690981344.709170,1461102751466.990967
2868,11258356227302,11258356.227302,4690981761.375837,1465793733228.366699
2869,11258357227302,11258357.227302,4690982178.042504,1470484715406.409180
2870,11258358227302,11258358.227302,4690982594.709170,1475175698001.118408
2871,11258359227302,11258359.227302,4690983011.375837,1479866681012.494141
2872,11258360227302,11258360.227302,4690983428.042503,1484557664440.536621
2873,11258361227302,11258361.227302,4690983844.709170,1489248648285.245850
2874,11258362227302,11258362.227302,4690984261.375837,1493939632546.621582
2875,11258363227302,11258363.227302,4690984678.042503,1498630617224.664062
